City Name,Latitude,Longitude
New Orleans,29.951065,-90.071533
Houston,29.749907,-95.358421
Tampa,27.964157,-82.452606
Miami,25.761681,-80.191788
Corpus Christi,27.800583,-97.396378
Pensacola,30.433283,-87.240372
Mobile,30.695366,-88.039894
Galveston,29.28754,-94.790321
Biloxi,30.396032,-88.885307
Key West,24.555059,-81.779984
Veracruz,19.173773,-96.134224
Tampico,22.233105,-97.861099
Campeche,19.85,-90.530556
Cancun,19.263021,-87.450912
Merida,20.97,-89.62
Ciudad del Carmen,18.633333,-91.833333
Progreso,21.282778,-89.663611
Coatzacoalcos,18.135833,-94.463333
Tuxpan,20.95,-97.4
Havana,23.136667,-82.358889
Varadero,23.139444,-81.286111
Cienfuegos,22.145556,-80.436389
Belize City,17.498611,-88.188611
George Town,19.295,-81.381111
Nassau,25.078056,-77.338611
